ticket_id,fecha,unit_id,litros,precio_mxn_litro,importe_mxn,odometro_km,estacion
TK-001,2026-05-05,U-101,380,25.10,9538.00,412500,Estacion Anahuac
TK-002,2026-05-09,U-101,220,25.10,5522.00,413980,Estacion Anahuac
TK-003,2026-05-12,U-102,350,25.30,8855.00,588120,Estacion Bajio
TK-004,2026-05-15,U-103,120,25.20,3024.00,201430,Estacion Regia
TK-005,2026-05-19,U-102,400,25.40,10160.00,589190,Estacion Anahuac
TK-006,2026-06-03,U-103,180,25.90,4662.00,202150,Estacion Bajio
TK-007,2026-06-09,U-101,375,26.10,9787.50,415250,Estacion Anahuac
TK-008,2026-06-16,U-102,330,26.00,8580.00,590300,Estacion Bajio
TK-009,2026-06-20,U-103,110,26.20,2882.00,202520,Estacion Regia
TK-010,2026-07-02,U-102,390,26.60,10374.00,591480,Estacion Anahuac
TK-011,2026-07-07,U-101,230,26.40,6072.00,416480,Estacion Bajio
TK-012,2026-07-14,U-103,260,26.75,6955.00,203480,Estacion Bajio
