trip_id,route_id,unit_id,operador_id,cliente_id,fecha_inicio,fecha_fin,ingreso_facturado_mxn,estatus
T-1001,R-MTY-CDMX,U-101,OP-01,CL-01,2026-05-04,2026-05-05,26500,cerrado
T-1002,R-CDMX-GDL,U-101,OP-01,CL-02,2026-05-07,2026-05-07,15900,cerrado
T-1003,R-GDL-MTY,U-102,OP-02,CL-01,2026-05-11,2026-05-12,22400,cerrado
T-1004,R-MTY-SLT,U-103,OP-03,CL-03,2026-05-14,2026-05-14,3900,cerrado
T-1005,R-MTY-CDMX,U-102,OP-02,CL-02,2026-05-18,2026-05-19,25200,cerrado
T-1006,R-CDMX-GDL,U-103,OP-03,CL-03,2026-06-02,2026-06-02,14100,cerrado
T-1007,R-MTY-CDMX,U-101,OP-01,CL-01,2026-06-08,2026-06-09,27300,cerrado
T-1008,R-GDL-MTY,U-102,OP-02,CL-02,2026-06-15,2026-06-16,21000,cerrado
T-1009,R-MTY-SLT,U-103,OP-03,CL-03,2026-06-19,2026-06-19,3600,cerrado
T-1010,R-MTY-CDMX,U-102,OP-01,CL-03,2026-07-01,2026-07-02,23800,cerrado
T-1011,R-CDMX-GDL,U-101,OP-01,CL-01,2026-07-06,2026-07-06,16400,cerrado
T-1012,R-GDL-MTY,U-103,OP-03,CL-02,2026-07-13,2026-07-14,19500,cerrado
T-1013,R-MTY-CDMX,U-101,OP-01,CL-01,2026-07-20,2026-07-21,26900,en_ruta
